20,1971,9065,4.59919
7,844,3169,3.75474
7,492,1696,3.44715
1,1718,1607,0.93539
2,747,1354,1.81258
3,662,1287,1.94411
4,392,1166,2.97449
5,304,1008,3.31579
6,306,1011,3.30392
7,283,1018,3.59717
8,232,894,3.85345
9,266,893,3.35714
10,252,825,3.27381
11,273,801,2.93407
12,257,799,3.10895
13,250,733,2.932
14,277,730,2.63538
15,243,707,2.90947
16,212,674,3.17925
17,278,677,2.43525
18,254,630,2.48031
19,252,629,2.49603
20,236,633,2.6822
21,290,634,2.18621
22,248,584,2.35484
23,272,585,2.15074
24,267,584,2.18727
25,283,583,2.06007
26,274,583,2.12774
27,282,581,2.06028
28,381,585,1.53543
29,344,579,1.68314
30,430,590,1.37209
31,361,598,1.65651
32,362,586,1.61878
33,351,585,1.66667
34,348,588,1.68966
35,374,585,1.56417
36,365,584,1.6
37,411,586,1.42579
38,452,585,1.29425
39,395,584,1.47848
40,427,587,1.37471
41,424,584,1.37736
42,423,582,1.37589
43,460,585,1.27174
44,465,585,1.25806
45,459,584,1.27233
46,477,583,1.22222
47,467,585,1.25268
48,473,584,1.23467
49,567,579,1.02116
50,628,580,0.923567
1,1758,1168,0.664391
2,417,1570,3.76499
3,414,666,1.6087
4,413,607,1.46973
5,299,599,2.00334
6,262,601,2.29389
7,250,650,2.6
8,310,806,2.6
9,264,803,3.04167
10,321,703,2.19003
11,331,734,2.21752
12,411,738,1.79562
13,268,677,2.52612
14,292,631,2.16096
15,310,640,2.06452
16,293,629,2.14676
17,306,636,2.07843
18,267,635,2.37828
19,287,586,2.04181
20,313,586,1.8722
21,309,587,1.89968
22,352,591,1.67898
23,317,584,1.84227
24,359,584,1.62674
25,412,656,1.59223
26,315,586,1.86032
27,373,596,1.59786
28,333,574,1.72372
29,360,558,1.55
30,424,569,1.34198
31,527,579,1.09867
32,399,583,1.46115
33,443,574,1.29571
34,457,584,1.2779
35,535,583,1.08972
36,471,928,1.97028
37,820,584,0.712195
38,411,562,1.3674
39,499,580,1.16232
40,568,654,1.15141
41,521,586,1.12476
42,547,557,1.01828
43,452,569,1.25885
44,512,588,1.14844
45,644,554,0.860248
46,462,555,1.2013
47,459,570,1.24183
48,496,557,1.12298
49,556,555,0.998201
50,512,559,1.0918
1,2022,1398,0.691395
2,771,1379,1.78859
3,558,1164,2.08602
4,485,1167,2.40619
5,411,1016,2.47202
6,364,1021,2.80494
7,248,897,3.61694
8,317,902,2.84543
9,272,832,3.05882
10,276,806,2.92029
11,301,804,2.6711
12,285,736,2.58246
13,282,731,2.5922
14,263,677,2.57414
15,259,680,2.62548
16,274,678,2.47445
17,274,633,2.31022
18,304,637,2.09539
19,319,636,1.99373
20,325,588,1.80923
21,290,586,2.02069
22,291,588,2.02062
23,289,590,2.04152
24,304,584,1.92105
25,358,575,1.60615
26,383,582,1.51958
27,383,578,1.50914
28,368,577,1.56793
29,400,577,1.4425
30,380,578,1.52105
31,745,577,0.774497
32,574,593,1.0331
33,374,562,1.50267
34,384,564,1.46875
35,420,561,1.33571
36,407,573,1.40786
37,514,564,1.09728
38,562,575,1.02313
39,420,558,1.32857
40,447,561,1.25503
41,462,562,1.21645
42,503,561,1.11531
43,479,563,1.17537
44,464,559,1.20474
45,495,561,1.13333
46,576,561,0.973958
47,550,565,1.02727
48,488,561,1.14959
49,530,558,1.05283
50,566,561,0.991166
1,1653,1760,1.06473
2,759,1395,1.83794
3,482,1170,2.42739
4,462,1161,2.51299
5,416,1028,2.47115
6,380,1023,2.69211
7,279,976,3.49821
8,322,897,2.78571
9,273,890,3.26007
10,299,803,2.68562
11,280,805,2.875
12,248,729,2.93952
13,286,734,2.56643
14,287,674,2.34843
15,264,673,2.54924
16,259,675,2.60618
17,281,629,2.23843
18,260,632,2.43077
19,289,633,2.19031
20,285,584,2.04912
21,293,587,2.00341
22,270,585,2.16667
23,286,582,2.03497
24,305,591,1.9377
25,325,577,1.77538
26,298,576,1.93289
27,301,572,1.90033
28,324,569,1.75617
29,325,567,1.74462
30,352,567,1.6108
31,351,568,1.61823
32,403,560,1.38958
33,384,561,1.46094
34,371,563,1.51752
35,379,564,1.48813
36,387,563,1.45478
37,415,562,1.35422
38,429,559,1.30303
39,425,561,1.32
40,454,569,1.2533
41,444,562,1.26577
42,452,561,1.24115
43,468,564,1.20513
44,461,566,1.22777
45,490,557,1.13673
46,490,561,1.1449
47,486,560,1.15226
48,501,563,1.12375
49,513,558,1.08772
50,541,561,1.03697
1,1630,1730,1.06135
2,761,1405,1.84625
3,485,1170,2.41237
4,376,1181,3.14096
5,427,1025,2.40047
